src_ip,Label,distinct_sources,days_seen,total_incidents,unique_dst_ip,src_port_zero_count,src_port_nonzero_count,src_port_zero_avg_inter_arrival_time,src_port_zero_min_inter_arrival_time,src_port_zero_max_inter_arrival_time,src_port_zero_stddev_inter_arrival_time,src_port_nonzero_avg_inter_arrival_time,src_port_nonzero_min_inter_arrival_time,src_port_nonzero_max_inter_arrival_time,src_port_nonzero_stddev_inter_arrival_time
212.227.85.103,Spoofed,2,5,1073,5,1070,3,300.3666978,0.0,48117.0,1892.006289,171027.5,103164.0,238891.0,67863.5
107.189.8.56,Spoofed,2,5,1564,8,1558,6,206.1239563,0.0,48044.0,1574.302579,69866.8,1802.0,189260.0,66519.51228
91.158.28.49,Spoofed,2,5,1021,5,1018,3,316.0186824,0.0,48641.0,1960.896846,107792.0,28994.0,186590.0,78798.0
65.109.26.84,Spoofed,2,6,864,7,812,52,395.2244143,0.0,48323.0,2183.992341,10319.52941,0.0,197607.0,37880.0449
178.170.10.39,Spoofed,2,4,1080,7,1075,5,299.0465549,0.0,48670.0,1896.918542,18087.25,1273.0,27342.0,10425.15274
46.4.34.242,Spoofed,2,6,808,7,760,48,423.6060606,0.0,48828.0,2273.881637,9346.808511,0.0,176981.0,35080.02279
89.58.32.67,Spoofed,2,5,1068,5,1059,9,303.4536862,0.0,49524.0,1937.6277,47191.875,1966.0,215284.0,67815.94848
51.38.65.160,Spoofed,2,5,1992,7,1984,8,162.0322743,0.0,47999.0,1391.500496,47567.42857,406.0,181521.0,60066.28219
62.171.142.3,Spoofed,2,5,885,5,881,4,364.4545455,0.0,48335.0,2093.215079,112248.3333,6149.0,175898.0,75521.12905
184.18.93.88,Spoofed,2,3,16,6,12,4,18409.90909,0.0,72899.0,23352.27607,52553.66667,3075.0,121823.0,50458.06669
89.117.144.77,Spoofed,2,4,1065,5,1063,2,302.7532957,0.0,48252.0,1899.664229,84300.0,84300.0,84300.0,0.0
46.226.111.65,Spoofed,2,5,1088,6,1081,7,297.7157407,0.0,48611.0,1913.859873,55281.16667,1254.0,181864.0,62235.85931
192.64.112.31,Spoofed,2,4,1043,6,1038,5,309.8081003,0.0,49004.0,1946.252638,18688.5,13609.0,24056.0,4562.964853
204.8.96.104,Spoofed,2,4,2844,6,2841,3,112.95,0.0,48358.0,1169.052994,35488.0,31183.0,39793.0,4305.0
